season,season_label,team_name,shot_type,shot_made,basic_zone,loc_x,loc_y,shot_distance
2013,2013-14,Boston Celtics,2PT,Made,Restricted Area,-0.4,6.15,0
2013,2013-14,Golden State Warriors,2PT,Missed,Midrange,9.5,11.35,11
2013,2013-14,Dallas Mavericks,2PT,Missed,Paint (non-RA),5.4,8.85,6
2013,2013-14,San Antonio Spurs,2PT,Missed,Midrange,-11.8,3.95,11
2013,2013-14,Sacramento Kings,2PT,Made,Restricted Area,-0.1,5.25,0
2013,2013-14,Chicago Bulls,2PT,Missed,Midrange,2.1,22.45,17
2013,2013-14,Detroit Pistons,2PT,Missed,Midrange,16.8,8.35,17
2013,2013-14,Miami Heat,2PT,Missed,Midrange,10.6,7.25,10
2013,2013-14,Dallas Mavericks,2PT,Made,Paint (non-RA),-5.1,15.95,11
2013,2013-14,Utah Jazz,2PT,Missed,Midrange,-14.6,13.25,16
2013,2013-14,Atlanta Hawks,2PT,Made,Restricted Area,-1,5.85,1
2013,2013-14,New Orleans Hornets,2PT,Made,Paint (non-RA),3.2,11.55,7
2013,2013-14,Miami Heat,2PT,Missed,Restricted Area,0.8,8.25,3
2013,2013-14,Orlando Magic,2PT,Made,Paint (non-RA),3.8,8.35,4
2013,2013-14,Denver Nuggets,2PT,Made,Restricted Area,0.8,5.25,0
2013,2013-14,Los Angeles Lakers,2PT,Missed,Midrange,18.3,6.15,18
2013,2013-14,Orlando Magic,2PT,Made,Restricted Area,0.2,6.45,1
2013,2013-14,Sacramento Kings,2PT,Made,Restricted Area,0.4,7.85,2
2013,2013-14,Boston Celtics,2PT,Made,Restricted Area,-0.1,8.95,3
2013,2013-14,Toronto Raptors,2PT,Made,Restricted Area,2.3,5.25,2
2013,2013-14,Charlotte Bobcats,2PT,Made,Restricted Area,0.4,7.25,2
2013,2013-14,Sacramento Kings,2PT,Made,Restricted Area,-0.2,5.35,0
2013,2013-14,Dallas Mavericks,2PT,Made,Midrange,-6.9,26.85,22
2013,2013-14,Miami Heat,2PT,Missed,Restricted Area,0.3,5.85,0
2013,2013-14,Phoenix Suns,2PT,Missed,Restricted Area,-1,5.25,1
2013,2013-14,Golden State Warriors,2PT,Made,Restricted Area,-0.2,6.45,1
2013,2013-14,Denver Nuggets,2PT,Missed,Paint (non-RA),-3,14.75,9
2013,2013-14,New York Knicks,2PT,Missed,Midrange,13.8,9.35,14
2013,2013-14,Golden State Warriors,2PT,Made,Paint (non-RA),-3.6,7.75,4
2013,2013-14,Houston Rockets,2PT,Made,Restricted Area,-0.4,6.15,0
2013,2013-14,Denver Nuggets,2PT,Made,Paint (non-RA),-5,8.65,6
2013,2013-14,Boston Celtics,2PT,Made,Midrange,9.3,8.65,9
2013,2013-14,Sacramento Kings,2PT,Missed,Restricted Area,0.5,6.75,1
2013,2013-14,Orlando Magic,2PT,Made,Midrange,0.5,23.95,18
2013,2013-14,Atlanta Hawks,2PT,Made,Midrange,-9.7,13.85,12
2013,2013-14,Los Angeles Lakers,2PT,Made,Restricted Area,-0.6,4.45,1
2013,2013-14,Chicago Bulls,2PT,Missed,Midrange,13,5.55,13
2013,2013-14,Dallas Mavericks,2PT,Made,Midrange,19,7.85,19
2013,2013-14,Cleveland Cavaliers,2PT,Missed,Paint (non-RA),-7.2,13.55,10
2013,2013-14,Los Angeles Lakers,2PT,Missed,Paint (non-RA),4.5,8.55,5
2013,2013-14,Toronto Raptors,2PT,Made,Restricted Area,1,4.45,1
2013,2013-14,Cleveland Cavaliers,2PT,Missed,Midrange,10.5,13.45,13
2013,2013-14,Atlanta Hawks,2PT,Made,Restricted Area,-1.3,5.35,1
